Cuerpo Agua,Estudio,Parámetro,Unidad,Punto,Abreviatura,Latitud,Longitud,Valor
Laguna de Cajititlán,21/10/2024,Plomo,mg/l,San Miguel Cuyutlán,LC-01,20.423691,-103.3604,0.0062
Laguna de Cajititlán,21/10/2024,Cadmio,mg/l,Cajititlán,LC-02,20.430558,-103.3164,0.00161
Laguna de Cajititlán,21/10/2024,Sólidos suspendidos totales,mg/l,Centro de la Laguna,LC-03,20.418944,-103.319778,41.03
Laguna de Cajititlán,21/10/2024,Nitrógeno de nitritos,mg/l,San Lucas Evangelista,LC-04,20.413152,-103.3325,0.032
Laguna de Cajititlán,21/10/2024,"Clorofilas a, b y c",mg/m³,San Lucas Evangelista,LC-04,20.413152,-103.3325,220
Laguna de Cajititlán,21/10/2024,Plomo,mg/l,San Juan Evangelista,LC-05,20.409697,-103.299456,0.0069
Laguna de Cajititlán,21/10/2024,Sodio,mg/l,San Juan Evangelista,LC-05,20.409697,-103.299456,165
Laguna de Cajititlán,21/10/2024,Zinc,mg/l,San Juan Evangelista,LC-05,20.409697,-103.299456,0.02
Laguna de Cajititlán,21/10/2024,Coliformes totales,NMP/100 ml,San Juan Evangelista,LC-05,20.409697,-103.299456,46000
Laguna de Cajititlán,21/10/2024,Coliformes fecales,NMP/100 ml,San Juan Evangelista,LC-05,20.409697,-103.299456,46000
Laguna de Cajititlán,21/10/2024,Profundidad,m,San Juan Evangelista,LC-05,20.409697,-103.299456,-1
Laguna de Cajititlán,21/10/2024,Temperatura ambiente,°C,San Juan Evangelista,LC-05,20.409697,-103.299456,24
Laguna de Cajititlán,21/10/2024,Transparencia Secchi,m,San Juan Evangelista,LC-05,20.409697,-103.299456,-1
Laguna de Cajititlán,21/10/2024,Sólidos totales,mg/l,San Juan Evangelista,LC-05,20.409697,-103.299456,791
Laguna de Cajititlán,21/10/2024,Nitrógeno total,mg/l,San Juan Evangelista,LC-05,20.409697,-103.299456,12.35
Laguna de Cajititlán,21/10/2024,"Clorofilas a, b y c",mg/m³,San Juan Evangelista,LC-05,20.409697,-103.299456,206
Laguna de Cajititlán,21/10/2024,Temperatura,°C,San Miguel Cuyutlán,LC-01,20.423691,-103.3604,24
Laguna de Cajititlán,21/10/2024,Potencial de hidrógeno,U pH,San Miguel Cuyutlán,LC-01,20.423691,-103.3604,8.9
Laguna de Cajititlán,21/10/2024,Oxígeno disuelto,mg/l,San Miguel Cuyutlán,LC-01,20.423691,-103.3604,8.32
Laguna de Cajititlán,21/10/2024,Conductividad Electrolitica,µS/cm,San Miguel Cuyutlán,LC-01,20.423691,-103.3604,894
